Time,Data
2023-09-27T01:28:00,0.3324
2023-09-27T01:30:00,-0.3771
2023-09-27T01:32:00,-0.5223
2023-09-27T01:34:00,-0.506
2023-09-27T01:36:00,-0.7363
2023-09-27T01:38:00,-0.993
2023-09-27T01:40:00,-0.363
2023-09-27T01:42:00,-1.03
2023-09-27T01:44:00,0.1991
2023-09-27T01:46:00,-0.2471
2023-09-27T01:48:00,0.664
2023-09-27T01:50:00,0.08012
2023-09-27T01:52:00,0.449
2023-09-27T01:54:00,1.192
2023-09-27T01:56:00,0.719
2023-09-27T01:58:00,0.357
2023-09-27T02:00:00,0.733
2023-09-27T02:02:00,0.722
2023-09-27T02:04:00,1.013
2023-09-27T02:06:00,1.69
2023-09-27T02:08:00,1.46
2023-09-27T02:10:00,1.943
2023-09-27T02:12:00,2.412
2023-09-27T02:14:00,2.273
2023-09-27T02:16:00,1.813
2023-09-27T02:18:00,1.28
2023-09-27T02:20:00,1.341
2023-09-27T02:22:00,1.464
2023-09-27T02:24:00,2.753
2023-09-27T02:26:00,2.94
2023-09-27T02:28:00,1.9
2023-09-27T02:30:00,3.501
2023-09-27T02:32:00,3.68
2023-09-27T02:34:00,3.29
2023-09-27T02:36:00,4.31
2023-09-27T02:38:00,3.141
2023-09-27T02:40:00,3.69
2023-09-27T02:42:00,4.27
2023-09-27T02:44:00,4.08
2023-09-27T02:46:00,4.541
2023-09-27T02:48:00,3.74
2023-09-27T02:50:00,4.02
2023-09-27T02:52:00,4.491
2023-09-27T02:54:00,3.21
2023-09-27T02:56:00,3.47
2023-09-27T02:58:00,3.46
2023-09-27T03:00:00,3.381
2023-09-27T03:02:00,2.794
2023-09-27T03:04:00,4.27
2023-09-27T03:06:00,4.24
2023-09-27T03:08:00,3.75
2023-09-27T03:10:00,4.73
2023-09-27T03:12:00,4.613
2023-09-27T03:14:00,3.34
2023-09-27T03:16:00,3.782
2023-09-27T03:18:00,2.54
2023-09-27T03:20:00,2.69
2023-09-27T03:22:00,2.0
2023-09-27T03:24:00,1.66
2023-09-27T03:26:00,2.022
2023-09-27T03:28:00,2.04
2023-09-27T03:30:00,3.66
2023-09-27T03:32:00,2.742
2023-09-27T03:34:00,2.994
2023-09-27T03:36:00,4.054
2023-09-27T03:38:00,3.64
2023-09-27T03:40:00,2.51
2023-09-27T03:42:00,2.563
2023-09-27T03:44:00,2.77
2023-09-27T03:46:00,2.544
2023-09-27T03:48:00,2.92
2023-09-27T03:50:00,2.002
2023-09-27T03:52:00,4.834
2023-09-27T03:54:00,2.92
2023-09-27T03:56:00,2.11
2023-09-27T03:58:00,2.322
2023-09-27T04:00:00,1.86
2023-09-27T04:02:00,4.08
2023-09-27T04:04:00,1.9
2023-09-27T04:06:00,2.694
2023-09-27T04:08:00,2.26
2023-09-27T04:10:00,2.41
2023-09-27T04:12:00,1.62
2023-09-27T04:14:00,2.142
2023-09-27T04:16:00,1.29
